,Name,Symbol,Date,Close/Last,Volume,Open,High,Low
0,"Meta, Inc.",META,2022-12-01,120.44,36551370,19.198,21.2,18.4
1,"Meta, Inc.",META,2022-11-30,118.1,43348560,9.505,18.16,9.38
2,"Meta, Inc.",META,2022-11-29,109.46,23899240,9.54,10.94,8.5437
3,"Meta, Inc.",META,2022-11-28,108.78,23332820,10.78,12.04,8.38
4,"Meta, Inc.",META,2022-11-25,111.41,12007570,11.3,12.73,11.02
5,"Meta, Inc.",META,2022-11-23,112.24,21343080,11.72,12.67,10.73
6,"Meta, Inc.",META,2022-11-22,111.44,29028960,9.86,11.62,8.3216
7,"Meta, Inc.",META,2022-11-21,109.86,24351070,11.52,12.3699,9.19
8,"Meta, Inc.",META,2022-11-18,112.05,33357710,13.8,14.32,10.62
9,"Meta, Inc.",META,2022-11-17,111.45,35093820,10.41,12.33,9.8
10,"Meta, Inc.",META,2022-11-16,113.23,33287770,14.5,16.075,12.66
11,"Meta, Inc.",META,2022-11-15,117.08,50670500,16.07,18.74,14.4116
12,"Meta, Inc.",META,2022-11-14,114.22,53394970,10.99,16.27,10.8
13,"Meta, Inc.",META,2022-11-11,113.02,59961740,9.23,14.9,8.81
14,"Meta, Inc.",META,2022-11-10,111.87,80670960,7.12,12.75,4.61
15,"Meta, Inc.",META,2022-11-09,101.47,107677300,1.72,4.9,0.74
16,"Meta, Inc.",META,2022-11-08,96.47,52088320,5.92,7.8,4.79
17,"Meta, Inc.",META,2022-11-07,96.72,81987300,4.78,6.88,3.1
18,"Meta, Inc.",META,2022-11-04,90.79,55638060,0.35,1.39,8.09
19,"Meta, Inc.",META,2022-11-03,88.91,60664010,0.08,0.4576,8.41
20,"Meta, Inc.",META,2022-11-02,90.54,71821060,4.205,5.2,0.48
21,"Meta, Inc.",META,2022-11-01,95.2,110189600,4.33,7.49,3.55
22,"Meta, Inc.",META,2022-10-31,93.16,121361400,8.22,9.32,2.6
23,"Meta, Inc.",META,2022-10-28,99.2,95928310,9.58,0.85,7.51
24,"Meta, Inc.",META,2022-10-27,97.94,232316600,7.975,2.5,6.38
25,"Meta, Inc.",META,2022-10-26,129.82,89294680,31.68,35.55,28.53
26,"Meta, Inc.",META,2022-10-25,137.51,38433220,30.875,38.35,30.59
27,"Meta, Inc.",META,2022-10-24,129.72,63563450,27.25,33.48,24.57
28,"Meta, Inc.",META,2022-10-21,130.01,46348650,26.31,30.12,25.44
29,"Meta, Inc.",META,2022-10-20,131.53,26356280,32.93,36.77,31.31
30,"Meta, Inc.",META,2022-10-19,133.23,30691050,32.89,37.0,32.22
31,"Meta, Inc.",META,2022-10-18,132.8,25444980,37.085,37.8399,31.4
32,"Meta, Inc.",META,2022-10-17,134.04,29612250,30.3,34.79,30.18
33,"Meta, Inc.",META,2022-10-14,126.76,23559410,31.0,31.79,26.52
34,"Meta, Inc.",META,2022-10-13,130.29,34325720,23.53,31.14,22.5301
35,"Meta, Inc.",META,2022-10-12,127.5,34605250,28.32,29.67,26.25
